detector_id,detector_type,detector_status,detector_direction,detector_movement,location_name,atd_location_id,signal_id,created_date,modified_date,ip_comm_status,comm_status_datetime_utc,location_latitude,location_longitude,LOCATION
526,LOOP,BROKEN,SOUTHBOUND,LEFT TURN, AIRPORT BLVD / LAMAR BLVD,LOC16-000040,9,,04/11/2023 02:34:00 PM +0000,,,,,POINT (-97.718872 30.337629)
527,VIDEO,OK,SOUTHBOUND,LEFT TURN, LAMAR BLVD / ST JOHNS AVE,LOC16-000050,11,,06/07/2023 05:22:00 PM +0000,,,,,POINT (-97.717842 30.339407)
529,LOOP,REMOVED,SOUTHBOUND,LEFT TURN, BURNET RD / GREENLAWN PKWY,LOC16-000395,80,,04/28/2022 08:00:00 PM +0000,,,,,POINT (-97.735779 30.348255)
530,LOOP,OK,SOUTHBOUND,LEFT TURN, BURNET RD / JUSTIN LN,LOC16-000400,81,,06/19/2023 11:40:00 PM +0000,,,,,POINT (-97.737526 30.345385)
531,LOOP,OK,SOUTHBOUND,LEFT TURN, BURNET RD / NORTHCROSS DR,LOC16-000450,91,,04/20/2023 07:53:00 PM +0000,,,,,POINT (-97.733246 30.352217)
532,LOOP,OK,SOUTHBOUND,THRU / RIGHT TURN, AIRPORT BLVD / LAMAR BLVD,LOC16-000040,9,,06/26/2023 01:58:00 PM +0000,,,,,POINT (-97.718872 30.337629)
533,VIDEO,OK,SOUTHBOUND,THRU / RIGHT TURN, LAMAR BLVD / ST JOHNS AVE,LOC16-000050,11,,06/07/2023 05:22:00 PM +0000,,,,,POINT (-97.717842 30.339407)
534,LOOP,REMOVED,SOUTHBOUND,THRU / RIGHT TURN, BURNET RD / RICHCREEK RD,LOC16-000390,79,,06/22/2021 03:51:00 PM +0000,,,,,POINT (-97.734337 30.350573)
535,LOOP,REMOVED,SOUTHBOUND,THRU / RIGHT TURN, BURNET RD / GREENLAWN PKWY,LOC16-000395,80,,04/28/2022 07:56:00 PM +0000,,,,,POINT (-97.735779 30.348255)
536,LOOP,OK,SOUTHBOUND,THRU / RIGHT TURN, BURNET RD / NORTHCROSS DR,LOC16-000450,91,,04/20/2023 07:53:00 PM +0000,,,,,POINT (-97.733246 30.352217)
537,LOOP,INACTIVE,SOUTHBOUND,THRU / RIGHT TURN, LAMAR BLVD / MORROW ST,LOC16-002310,471,,12/02/2021 12:42:00 AM +0000,,,,,POINT (-97.714966 30.343973)
540,LOOP,OK,WESTBOUND,LEFT TURN, AIRPORT BLVD / LAMAR BLVD,LOC16-000040,9,,06/26/2023 01:59:00 PM +0000,,,,,POINT (-97.718872 30.337629)
541,VIDEO,OK,WESTBOUND,LEFT TURN, LAMAR BLVD / ST JOHNS AVE,LOC16-000050,11,,06/07/2023 05:22:00 PM +0000,,,,,POINT (-97.717842 30.339407)
542,LOOP,REMOVED,WESTBOUND,LEFT TURN, BURNET RD / GREENLAWN PKWY,LOC16-000395,80,,04/28/2022 07:59:00 PM +0000,,,,,POINT (-97.735779 30.348255)
545,LOOP,REMOVED,WESTBOUND,THRU / RIGHT TURN, BURNET RD / GREENLAWN PKWY,LOC16-000395,80,,04/28/2022 07:59:00 PM +0000,,,,,POINT (-97.735779 30.348255)
547,LOOP,OK,WESTBOUND,THRU / RIGHT TURN, BURNET RD / NORTHCROSS DR,LOC16-000450,91,,04/20/2023 07:55:00 PM +0000,,,,,POINT (-97.733246 30.352217)
548,VIDEO,VERIFICATION NEEDED,EASTBOUND,LEFT TURN, BURNET RD / HANCOCK DR,LOC16-000435,88,,06/19/2023 02:31:00 AM +0000,,,,,POINT (-97.739334 30.322012)
549,VIDEO,VERIFICATION NEEDED,EASTBOUND,LEFT TURN, BURNET RD / 49TH ST,LOC16-000440,89,,06/19/2023 02:47:00 AM +0000,,,,,POINT (-97.739227 30.319857)
552,VIDEO,VERIFICATION NEEDED,EASTBOUND,THRU / RIGHT TURN, BURNET RD / HANCOCK DR,LOC16-000435,88,,06/19/2023 02:32:00 AM +0000,,,,,POINT (-97.739334 30.322012)
553,VIDEO,VERIFICATION NEEDED,EASTBOUND,THRU / RIGHT TURN, BURNET RD / 49TH ST,LOC16-000440,89,,06/19/2023 02:47:00 AM +0000,,,,,POINT (-97.739227 30.319857)
556,VIDEO,OK,NORTHBOUND,THRU / LEFT TURN, LAMAR BLVD / NORTH LOOP BLVD,LOC16-000015,4,,06/27/2023 03:24:00 PM +0000,,,,,POINT (-97.729393 30.321089)
558,LOOP,OK,NORTHBOUND,LEFT TURN, 38TH ST / LAMAR BLVD,LOC16-000510,103,,06/07/2023 03:16:00 PM +0000,,,,,POINT (-97.74305 30.305197)
559,VIDEO,OK,NORTHBOUND,THRU / RIGHT TURN, LAMAR BLVD / 51ST ST,LOC16-000010,3,,08/21/2023 02:18:00 PM +0000,,,,,POINT (-97.73082 30.31877)
562,VIDEO,OK,SOUTHBOUND,LEFT TURN, LAMAR BLVD / 51ST ST,LOC16-000010,3,,08/21/2023 02:21:00 PM +0000,,,,,POINT (-97.73082 30.31877)
566,LOOP,OK,WESTBOUND,LEFT TURN, 38TH ST / LAMAR BLVD,LOC16-000510,103,,06/07/2023 03:16:00 PM +0000,,,,,POINT (-97.74305 30.305197)
567,LOOP,OK,WESTBOUND,LEFT TURN, LAMAR BLVD / NORTH LOOP BLVD,LOC16-000015,4,,06/27/2023 03:25:00 PM +0000,,,,,POINT (-97.729393 30.321089)
568,VIDEO,VERIFICATION NEEDED,WESTBOUND,LEFT TURN, BURNET RD / 49TH ST,LOC16-000440,89,,06/19/2023 02:48:00 AM +0000,,,,,POINT (-97.739227 30.319857)
572,LOOP,OK,WESTBOUND,THRU / RIGHT TURN, LAMAR BLVD / NORTH LOOP BLVD,LOC16-000015,4,,06/27/2023 03:25:00 PM +0000,,,,,POINT (-97.729393 30.321089)
573,VIDEO,VERIFICATION NEEDED,WESTBOUND,THRU / RIGHT TURN, BURNET RD / 49TH ST,LOC16-000440,89,,06/19/2023 02:48:00 AM +0000,,,,,POINT (-97.739227 30.319857)
575,LOOP,OK,WESTBOUND,THRU / RIGHT TURN, 38TH ST / LAMAR BLVD,LOC16-000510,103,,06/07/2023 03:17:00 PM +0000,,,,,POINT (-97.74305 30.305197)
576,LOOP,REMOVED,EASTBOUND,THRU / RIGHT TURN,FM 2222 RD / SITIO DEL RIO BLVD,LOC16-004550,928,,06/29/2020 10:34:00 PM +0000,,,,,POINT (-97.841827 30.392931)
577,LOOP,REMOVED,WESTBOUND,LEFT TURN,FM 2222 RD / SITIO DEL RIO BLVD,LOC16-004550,928,,06/29/2020 10:34:00 PM +0000,,,,,POINT (-97.841827 30.392931)
578,LOOP,REMOVED,WESTBOUND,THRU / RIGHT TURN,FM 2222 RD / SITIO DEL RIO BLVD,LOC16-004550,928,,06/29/2020 10:34:00 PM +0000,,,,,POINT (-97.841827 30.392931)
579,LOOP,OK,EASTBOUND,THRU / RIGHT TURN,FM 2222 RD / PARK CENTRE ,LOC16-004495,913,,06/24/2023 05:08:00 PM +0000,,,,,POINT (-97.813118 30.382252)
580,LOOP,OK,WESTBOUND,LEFT TURN,FM 2222 RD / PARK CENTRE ,LOC16-004495,913,,06/24/2023 05:08:00 PM +0000,,,,,POINT (-97.813118 30.382252)
582,LOOP,REMOVED,WESTBOUND,"SETBACK, THRU ONLY",FM 2222 RD / CITY PARK RD,LOC16-002625,536,,06/28/2020 06:17:00 PM +0000,,,,,POINT (-97.79744 30.365801)
584,LOOP,REMOVED,WESTBOUND,THRU / RIGHT TURN,FM 2222 RD / CITY PARK RD,LOC16-002625,536,,06/28/2020 06:17:00 PM +0000,,,,,POINT (-97.79744 30.365801)
585,LOOP,REMOVED,EASTBOUND,LEFT TURN,FM 2222 RD / CITY PARK RD,LOC16-002625,536,,06/28/2020 06:18:00 PM +0000,,,,,POINT (-97.79744 30.365801)
586,LOOP,REMOVED,NORTHBOUND,LEFT TURN,FM 2222 RD / CITY PARK RD,LOC16-002625,536,,06/28/2020 06:18:00 PM +0000,,,,,POINT (-97.79744 30.365801)
587,LOOP,REMOVED,NORTHBOUND,THRU / RIGHT TURN,FM 2222 RD / CITY PARK RD,LOC16-002625,536,,06/28/2020 06:18:00 PM +0000,,,,,POINT (-97.79744 30.365801)
588,LOOP,REMOVED,EASTBOUND,LEFT TURN, RIVERSIDE DR / FARO DR,LOC16-001650,337,,11/30/2020 04:57:00 PM +0000,,,,,POINT (-97.712631 30.229511)
589,LOOP,REMOVED,EASTBOUND,LEFT TURN, RIVERSIDE DR / PARKER LN,LOC16-001905,389,,08/11/2022 11:23:00 AM +0000,,,,,POINT (-97.729309 30.243229)
590,LOOP,REMOVED,EASTBOUND,LEFT TURN, RIVERSIDE DR / BURTON DR,LOC16-001910,390,,05/07/2021 02:46:00 PM +0000,,,,,POINT (-97.727036 30.24024)
591,VIDEO,BROKEN,EASTBOUND,THRU / RIGHT TURN, RIVERSIDE DR / FARO DR,LOC16-001650,337,,06/27/2023 01:56:00 PM +0000,,,,,POINT (-97.712631 30.229511)
592,LOOP,BROKEN,NORTHBOUND,"RIGHT TURN, THRU / LEFT TURN", RIVERSIDE DR / FARO DR,LOC16-001650,337,,06/27/2023 01:55:00 PM +0000,,,,,POINT (-97.712631 30.229511)
593,LOOP,REMOVED,NORTHBOUND,LEFT TURN, RIVERSIDE DR / ROYAL CREST DR,LOC16-001845,376,,05/07/2021 03:08:00 PM +0000,,,,,POINT (-97.728287 30.241785)
594,VIDEO,OK,NORTHBOUND,LEFT TURN, RIVERSIDE DR / PARKER LN,LOC16-001905,389,,06/30/2023 08:35:00 PM +0000,,,,,POINT (-97.729309 30.243229)
595,LOOP,REMOVED,NORTHBOUND,LEFT TURN, RIVERSIDE DR / BURTON DR,LOC16-001910,390,,05/07/2021 02:46:00 PM +0000,,,,,POINT (-97.727036 30.24024)
596,LOOP,REMOVED,NORTHBOUND,THRU / RIGHT TURN, RIVERSIDE DR / ROYAL CREST DR,LOC16-001845,376,,05/07/2021 03:09:00 PM +0000,,,,,POINT (-97.728287 30.241785)
597,VIDEO,OK,NORTHBOUND,THRU / RIGHT TURN, RIVERSIDE DR / PARKER LN,LOC16-001905,389,,06/30/2023 08:36:00 PM +0000,,,,,POINT (-97.729309 30.243229)
598,LOOP,REMOVED,NORTHBOUND,THRU / RIGHT TURN, RIVERSIDE DR / BURTON DR,LOC16-001910,390,,05/07/2021 02:46:00 PM +0000,,,,,POINT (-97.727036 30.24024)
599,LOOP,REMOVED,SOUTHBOUND,LEFT TURN, RIVERSIDE DR / FARO DR,LOC16-001650,337,,11/30/2020 04:56:00 PM +0000,,,,,POINT (-97.712631 30.229511)
600,VIDEO,OK,SOUTHBOUND,"LEFT TURN, THRU / RIGHT TURN", RIVERSIDE DR / PARKER LN,LOC16-001905,389,,06/26/2023 02:07:00 PM +0000,,,,,POINT (-97.729309 30.243229)
601,LOOP,INACTIVE,SOUTHBOUND,LEFT TURN, RIVERSIDE DR / BURTON DR,LOC16-001910,390,,05/07/2021 02:51:00 PM +0000,,,,,POINT (-97.727036 30.24024)
603,LOOP,REMOVED,SOUTHBOUND,THRU / RIGHT TURN, RIVERSIDE DR / PARKER LN,LOC16-001905,389,,06/30/2023 08:35:00 PM +0000,,,,,POINT (-97.729309 30.243229)
604,LOOP,INACTIVE,SOUTHBOUND,THRU / RIGHT TURN, RIVERSIDE DR / BURTON DR,LOC16-001910,390,,05/07/2021 02:52:00 PM +0000,,,,,POINT (-97.727036 30.24024)
605,LOOP,BROKEN,WESTBOUND,LEFT TURN, RIVERSIDE DR / FARO DR,LOC16-001650,337,,06/27/2023 01:56:00 PM +0000,,,,,POINT (-97.712631 30.229511)
606,VIDEO,OK,WESTBOUND,THRU / LEFT TURN, RIVERSIDE DR / ROYAL CREST DR,LOC16-001845,376,,06/26/2023 08:15:00 PM +0000,,,,,POINT (-97.728287 30.241785)
607,VIDEO,OK,EASTBOUND,"LEFT TURN, THRU / RIGHT TURN", RIVERSIDE DR / PARKER LN,LOC16-001905,389,,06/26/2023 02:17:00 PM +0000,,,,,POINT (-97.729309 30.243229)
608,LOOP,BROKEN,WESTBOUND,THRU / RIGHT TURN, RIVERSIDE DR / FARO DR,LOC16-001650,337,,06/27/2023 01:56:00 PM +0000,,,,,POINT (-97.712631 30.229511)
609,LOOP,REMOVED,SOUTHBOUND,LEFT TURN, CESAR CHAVEZ ST / B R REYNOLDS DR,LOC16-001130,230,,09/20/2022 11:14:00 AM +0000,,,,,POINT (-97.757095 30.266964)
610,LOOP,BROKEN,WESTBOUND,LEFT TURN, DEAN KEETON ST / MEDICAL ARTS ST,LOC16-000320,65,,05/23/2023 07:07:00 PM +0000,,,,,POINT (-97.729134 30.28833)
612,VIDEO,OK,WESTBOUND,LEFT TURN, SLAUGHTER LN / BILBROOK PL,LOC16-000990,200,,06/22/2023 02:07:00 PM +0000,,,,,POINT (-97.816994 30.173864)
613,LOOP,REMOVED,WESTBOUND,LEFT TURN, SLAUGHTER LN / UNITED KINGDOM DR,LOC16-001320,271,,11/24/2020 06:18:00 PM +0000,,,,,POINT (-97.809326 30.173962)
616,LOOP,INACTIVE,EASTBOUND,LEFT TURN, MENCHACA RD / STASSNEY LN,LOC16-000950,192,,11/24/2021 06:00:00 PM +0000,,,,,POINT (-97.797707 30.215431)
617,LOOP,OK,EASTBOUND,LEFT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:46:00 PM +0000,,,,,POINT (-97.806908 30.202913)
618,LOOP,OK,EASTBOUND,THRU / RIGHT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:46:00 PM +0000,,,,,POINT (-97.806908 30.202913)
620,LOOP,INACTIVE,NORTHBOUND,LEFT TURN, MENCHACA RD / STASSNEY LN,LOC16-000950,192,,11/24/2021 06:01:00 PM +0000,,,,,POINT (-97.797707 30.215431)
621,LOOP,OK,NORTHBOUND,LEFT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:46:00 PM +0000,,,,,POINT (-97.806908 30.202913)
622,LOOP,INACTIVE,NORTHBOUND,THRU / RIGHT TURN, MENCHACA RD / STASSNEY LN,LOC16-000950,192,,11/24/2021 06:02:00 PM +0000,,,,,POINT (-97.797707 30.215431)
623,LOOP,OK,NORTHBOUND,THRU / RIGHT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:46:00 PM +0000,,,,,POINT (-97.806908 30.202913)
624,LOOP,OK,SOUTHBOUND,LEFT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:39:00 PM +0000,,,,,POINT (-97.806908 30.202913)
626,LOOP,INACTIVE,SOUTHBOUND,LEFT TURN, MENCHACA RD / STASSNEY LN,LOC16-000950,192,,11/24/2021 06:02:00 PM +0000,,,,,POINT (-97.797707 30.215431)
627,LOOP,INACTIVE,SOUTHBOUND,THRU / RIGHT TURN, MENCHACA RD / STASSNEY LN,LOC16-000950,192,,11/24/2021 06:03:00 PM +0000,,,,,POINT (-97.797707 30.215431)
628,LOOP,OK,SOUTHBOUND,THRU / RIGHT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:39:00 PM +0000,,,,,POINT (-97.806908 30.202913)
629,LOOP,OK,WESTBOUND,LEFT TURN, MENCHACA RD / WILLIAM CANNON DR,LOC16-000960,194,,06/21/2023 07:45:00 PM +0000,,,,,POINT (-97.806908 30.202913)
631,VIDEO,OK,NORTHBOUND,THRU / LEFT TURN, 6TH ST / WEST LYNN ST,LOC16-001025,208,,06/22/2023 06:07:00 PM +0000,,,,,POINT (-97.762642 30.274826)
632,LOOP,OK,NORTHBOUND,LEFT TURN, 6TH ST / BAYLOR ST,LOC16-004645,951,,06/30/2023 07:58:00 PM +0000,,,,,POINT (-97.755386 30.272099)
633,VIDEO,OK,NORTHBOUND,THRU / LEFT TURN, 5TH ST / BAYLOR ST,LOC16-001005,203,,08/14/2023 07:30:00 PM +0000,,,,,POINT (-97.756035 30.270855)
634,VIDEO,OK,SOUTHBOUND,THRU / LEFT TURN, 5TH ST / BAYLOR ST,LOC16-001005,203,,08/14/2023 07:30:00 PM +0000,,,,,POINT (-97.756035 30.270855)
636,LOOP,OK,WESTBOUND,LEFT TURN, 6TH ST / BAYLOR ST,LOC16-004645,951,,06/30/2023 07:58:00 PM +0000,,,,,POINT (-97.755386 30.272099)
637,LOOP,OK,WESTBOUND,THRU / RIGHT TURN, 6TH ST / BAYLOR ST,LOC16-004645,951,,06/30/2023 07:58:00 PM +0000,,,,,POINT (-97.755386 30.272099)
638,LOOP,REMOVED,EASTBOUND,LEFT TURN,100 BLK E RIVERSIDE DR (AUSTIN AMERICAN-STATESMAN),LOC16-000885,179,,09/27/2023 06:13:00 PM +0000,,,,,POINT (-97.745018 30.255238)
640,LOOP,OK,SOUTHBOUND,"LEFT TURN, THRU / RIGHT TURN",100 BLK E RIVERSIDE DR (AUSTIN AMERICAN-STATESMAN),LOC16-000885,179,,09/27/2023 06:14:00 PM +0000,,,,,POINT (-97.745018 30.255238)
641,LOOP,REMOVED,WESTBOUND,LEFT TURN,100 BLK E RIVERSIDE DR (AUSTIN AMERICAN-STATESMAN),LOC16-000885,179,,09/27/2023 06:14:00 PM +0000,,,,,POINT (-97.745018 30.255238)
642,LOOP,OK,EASTBOUND,LEFT TURN, AIRPORT BLVD / 12TH ST,LOC16-000810,163,,06/19/2023 07:52:00 PM +0000,,,,,POINT (-97.700333 30.276861)
643,LOOP,OK,EASTBOUND,LEFT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:33:00 PM +0000,,,,,POINT (-97.758942 30.338467)
644,LOOP,OK,EASTBOUND,THRU ONLY, AIRPORT BLVD / 12TH ST,LOC16-000810,163,,06/19/2023 07:50:00 PM +0000,,,,,POINT (-97.700333 30.276861)
645,LOOP,OK,EASTBOUND,THRU / RIGHT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:32:00 PM +0000,,,,,POINT (-97.758942 30.338467)
646,LOOP,OK,NORTHBOUND,LEFT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:32:00 PM +0000,,,,,POINT (-97.758942 30.338467)
647,VIDEO,OK,NORTHBOUND,THRU / RIGHT TURN, AIRPORT BLVD / 12TH ST,LOC16-000810,163,,08/14/2023 05:23:00 PM +0000,,,,,POINT (-97.700333 30.276861)
649,LOOP,OK,SOUTHBOUND,LEFT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:32:00 PM +0000,,,,,POINT (-97.758942 30.338467)
650,LOOP,OK,SOUTHBOUND,THRU / RIGHT TURN, AIRPORT BLVD / 12TH ST,LOC16-000810,163,,06/19/2023 07:47:00 PM +0000,,,,,POINT (-97.700333 30.276861)
651,LOOP,OK,SOUTHBOUND,THRU / RIGHT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:32:00 PM +0000,,,,,POINT (-97.758942 30.338467)
652,LOOP,OK,WESTBOUND,LEFT TURN, AIRPORT BLVD / 12TH ST,LOC16-000810,163,,06/30/2023 08:27:00 PM +0000,,,,,POINT (-97.700333 30.276861)
653,LOOP,OK,WESTBOUND,LEFT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:32:00 PM +0000,,,,,POINT (-97.758942 30.338467)
654,LOOP,OK,WESTBOUND,THRU / RIGHT TURN, AIRPORT BLVD / 12TH ST,LOC16-000810,163,,06/19/2023 07:48:00 PM +0000,,,,,POINT (-97.700333 30.276861)
655,LOOP,OK,WESTBOUND,THRU / RIGHT TURN,FM 2222 RD / NORTHLAND DR,LOC16-002155,439,,06/19/2023 08:33:00 PM +0000,,,,,POINT (-97.758942 30.338467)
656,LOOP,REMOVED,NORTHBOUND,THRU / LEFT TURN, ST JOHNS AVE / GUADALUPE ST,LOC16-002305,470,,08/29/2022 12:30:00 PM +0000,,,,,POINT (-97.714409 30.337824)
657,VIDEO,OK,EASTBOUND,LEFT TURN, 38TH ST / WEST AVE,LOC16-001600,327,,01/19/2023 06:18:00 PM +0000,,,,,POINT (-97.741432 30.304424)
658,LOOP,REMOVED,NORTHBOUND,LEFT TURN, 38TH ST / WEST AVE,LOC16-001600,327,,01/19/2023 06:19:00 PM +0000,,,,,POINT (-97.741432 30.304424)
659,LOOP,OK,SOUTHBOUND,THRU / RIGHT TURN, 38TH ST / WEST AVE,LOC16-001600,327,,01/19/2023 06:20:00 PM +0000,,,,,POINT (-97.741432 30.304424)
660,VIDEO,OK,WESTBOUND,LEFT TURN, 38TH ST / WEST AVE,LOC16-001600,327,,01/19/2023 06:21:00 PM +0000,,,,,POINT (-97.741432 30.304424)
661,LOOP,OK,EASTBOUND,THRU / RIGHT TURN, THERMAL DR / WELLS BRANCH PKWY,LOC16-002145,437,,06/19/2023 08:18:00 PM +0000,,,,,POINT (-97.677193 30.434973)
662,LOOP,OK,NORTHBOUND,LEFT TURN, THERMAL DR / WELLS BRANCH PKWY,LOC16-002145,437,,06/19/2023 08:17:00 PM +0000,,,,,POINT (-97.677193 30.434973)
664,LOOP,OK,NORTHBOUND,RIGHT TURN, THERMAL DR / WELLS BRANCH PKWY,LOC16-002145,437,,06/19/2023 08:18:00 PM +0000,,,,,POINT (-97.677193 30.434973)
666,LOOP,OK,WESTBOUND,LEFT TURN, THERMAL DR / WELLS BRANCH PKWY,LOC16-002145,437,,06/19/2023 08:17:00 PM +0000,,,,,POINT (-97.677193 30.434973)
667,LOOP,OK,WESTBOUND,THRU / RIGHT TURN, THERMAL DR / WELLS BRANCH PKWY,LOC16-002145,437,,06/19/2023 08:17:00 PM +0000,,,,,POINT (-97.677193 30.434973)
668,LOOP,BROKEN,NORTHBOUND,THRU / RIGHT TURN, AIRPORT BLVD / 45TH ST,LOC16-000840,169,,06/19/2023 09:27:00 PM +0000,,,,,POINT (-97.715981 30.303625)
669,LOOP,BROKEN,SOUTHBOUND,THRU / RIGHT TURN, AIRPORT BLVD / 45TH ST,LOC16-000840,169,,06/19/2023 09:27:00 PM +0000,,,,,POINT (-97.715981 30.303625)
670,LOOP,REMOVED,EASTBOUND,LEFT TURN, SOUTHWEST PKWY / BOSTON LN,LOC16-003030,612,,12/28/2021 04:27:00 PM +0000,,,,,POINT (-97.83329 30.240116)
671,LOOP,OK,EASTBOUND,"SETBACK, THRU / RIGHT TURN", SOUTHWEST PKWY / BOSTON LN,LOC16-003030,612,,09/21/2023 05:03:00 PM +0000,,,,,POINT (-97.83329 30.240116)
672,LOOP,OK,NORTHBOUND,"LEFT TURN, RIGHT TURN", SOUTHWEST PKWY / BOSTON LN,LOC16-003030,612,,09/21/2023 05:03:00 PM +0000,,,,,POINT (-97.83329 30.240116)
